Økonomerne kommer,https://www.youtube.com/watch?v=qpEuGk4_I9w,36,Skud ud til at det endelig er kapsejlads(øf kapsang)
Fuck SL,https://www.youtube.com/watch?v=WPKcHHrO_00,0,Skud ud til at SL ikke er med fuck dem
Levels,https://www.youtube.com/watch?v=XEhKSc52QqY,0,Skud ud til bms vinderchancer
Sweet home Tysk,https://soundcloud.com/alex-qu-418663234/ssio-nuttoeoeoe-x-sweet-home,0,Fuck jeg hader tågekammeret
Den bedste Julesang ever,https://www.youtube.com/watch?v=bDvCWpWuwhA,48,Skud ud til at Nikolaj ikke kan se lige
Der palmarne bor,https://www.youtube.com/watch?v=TLD74qRkhs8,102,Har du drukket cement eller hvad?? Så kom dog afsted
Gucci gang- call me maybe,https://soundcloud.com/benneboom/call-me-gucci,0,Skud ud til DJ Bjerring
Ild på Floor,https://www.youtube.com/watch?v=XJSDMeqW2Xo,0,Skud ud til at stjæle bækkenet igen
Ill be there for you,https://www.youtube.com/watch?v=q-9kPks0IfE,0,Skud ud til at Jens og Fisker er forblevet venner
Fut on the ground,https://www.youtube.com/watch?v=nnBisxzmUb8,178,Skud ud til at trampe græsset brunt senere
Cool Jul,https://www.youtube.com/watch?v=EKqIBDHnqHE,6,"Skud ud til gang i den, sang i den, mere ramasjang og tjubang i den"
i en kælder sort som kuld,https://www.youtube.com/watch?v=h0KMeANq3tM,0,Skud ud til mongoles viseR
One more Time,https://www.youtube.com/watch?v=FGBhQbmPwH8,43,Skud ud Fisker i bar kasse under præsenning (one More time)
Lamour tojour,https://www.youtube.com/watch?v=dSz8WjJPzkI,0,KAAAA MADDI KA MADDI
We are the champions,https://www.youtube.com/watch?v=04854XqcfCY,0,Skud ud til Randers Cowboys der langt om længe fik hul på bylden til en idrætsturnering
Que rica,https://www.youtube.com/watch?v=TvRbO5xpHO8,0,Skud ud til Europas bedste bartender
Sent i seng,https://www.youtube.com/watch?v=X6w1gvQqCTo,17,Skud ud til at Jens er kommet til tiden i år
Driving home for christmas,https://www.youtube.com/watch?v=DDt3u2Ev1cI,0,Skud ud til Oles ven nigge
Gule flammer,https://www.youtube.com/watch?v=QO6JMtB0Ujs,147,Skud ud til den gang Stautz kom til crossfit uden Naomi
Africa,https://www.youtube.com/watch?v=FTQbiNvZqaY,36,Skål for Big 5
Sommer sindssyg,https://www.youtube.com/watch?v=i__THJ9HE-o,25,Skud ud til 1000 på en sommer
Drik øl,https://soundcloud.com/b-ggild-1/asbjorn-boggild-drik-ol,0,Skud ud til die grunes
Bedre end Rihanna,https://www.youtube.com/watch?v=n9aao2tE1Tg,0,Skud ud til Monner og risalamande til morgenmad
Lille store verden,https://www.youtube.com/watch?v=Ae3_eSWcNZc,149,Nummer 24 skud ud til juuuleaften
Drik li ud,https://www.youtube.com/watch?v=KEjtbuWFu0c,122,Skud ud til at stikke sin bedste ven en hallebajer
Fuld af Jul,https://www.youtube.com/watch?v=CllgCY2iZuI,0,"Skud ud til Viktor Weilert for at komme med for hurtige udmeldinger, fx at den her er en bange"
Electro dance mix,https://www.youtube.com/watch?v=_2lzyroBwG4,0,Skud ud til at være en vatpik
Bangarang,https://www.youtube.com/watch?v=cR2XilcGYOo,0,Skud ud til at skulle med på Ros(bangarang)
Futtemanden,https://www.youtube.com/watch?v=xJWFHN2rQlU,45,KA du fut KA du hak
Zombie,https://www.youtube.com/watch?v=6Ejga4kJUts,180,Skud ud til Jens der har udtalt at denne sang er Ukraines nationalmelodi(om ny head)
Mucki bar,https://www.youtube.com/watch?v=ezFsAWK_HF8,5,Har i hørt det er blevet så slemt med inflationen at Tobias Rahim nu arbejder fuldtid på Mucki bar?
Everytime we touch,https://www.youtube.com/watch?v=4G6QDNC4jPs,6,Skud ud til Niklas Bendtners store hat
Touch the sky,https://www.youtube.com/watch?v=B95OUKk7alM,4,Skud ud til at her går det pisse godt(touch the sky)
min pik den er flot,https://www.youtube.com/watch?v=a7fSvTA9pRc,0,Skud ud til yahya Hassan
Icona Pop,https://www.youtube.com/watch?v=UxxajLWwzqY,15,Skud ud til lannister
Right Round,https://www.youtube.com/watch?v=CcCw1ggftuQ,5,Skud ud til Jens for at give Ole 15 spin på kapdagen
thunderstruck,https://www.youtube.com/watch?v=v2AC41dglnM,0,Skud ud til en god luftguitar
For evigt,https://www.youtube.com/watch?v=TAhyZegVkhw,0,Skud ud til at minder ikke skaber sig selv
Reseppten,https://www.youtube.com/watch?v=mgrM_FWdbqw,38,Hvilken ost startede inde på det danske landshold? Brien Laudrup 
Let her go,https://soundcloud.com/nettwerkmusicgroup/passenger-let-her-go,19,Skud ud til Maddi. Man ved først man elsker dem når man lader dem gå
Født til at sejl,https://www.youtube.com/watch?v=opuO2GMeN1k,50,Skud ud til at sende de andre på bænken
Fuglefrekvenser,https://www.youtube.com/watch?v=ZnvTYnQzZwQ,5,Skud ud til at tage 12 semestre på idræt
Dota,https://www.youtube.com/watch?v=qTsaS1Tm-Ic,6,Skud ud til Ole for at tage et aram uden sine venner 
Blodskudt,https://www.youtube.com/watch?v=JL8fq50QBbE,0,"skud ud til at hvis du har shuffi, så skub det!!"
