"Earth, Wind & Shorty - September Hey Shorty MASHUP",https://soundcloud.com/heyshortymashups/earth-wind-shorty-september-hey-shorty-remix,0,Hvad man siger - [General intro] - ,Kommentarer - ,Done - x
Africa - Shorty,https://soundcloud.com/heyshortymashups/africa-shorty,0,En rigtig klub 100 tager en shorty til,Viktor/Claes,x
TopGunn - Tilbud (Official Video),https://www.youtube.com/watch?v=dEDGex2J_fs&ab_channel=CheffRecords,17,"Skud ud til alle der er gratis, det er altid lækkert med et godt tilbud.",Vejbump / Claes,x
Gulddreng - Helt Sikker,https://www.youtube.com/watch?v=UxsFivVlU30&ab_channel=GulddrengVEVO,92,"Det eneste der er ligeså sikkert som danmark der vinder VM, er at jeg bliver pisse fuld i dag. Skål!",Viktor,x
harry styles- as it was,https://www.youtube.com/watch?v=dyjDgIHZve0,0,Skål,Alle,x
artigeardit er her,https://www.youtube.com/watch?v=1VQRxuXqPYk,0,"Artigeardit, du gør mig slem, rawr",Claes,x
Return of the mack,https://www.youtube.com/watch?v=uB1D9wWxd2w,22,"Nu er det ikke første tår, men jeg trænger til en mere. Skål!",Claes,x
Beverily Hills intro,https://www.youtube.com/watch?v=JDOrOMuo-9o,0,"Hey, jeg skulle hilse. Fra hvem? Beverly hills",Viktor/Claes/Lasse,x
Vanessa Carlton - A Thousand Miles,https://www.youtube.com/watch?v=Cwkej79U3ek&ab_channel=VanessaCarltonVEVO,25,Skud ud til alt der ligger udenfor ringvejen. Det er det man kalder udkantsdanmark.,Claes,x
Team Easy On - De Skal Have Baghjul Nede I Touren,https://www.youtube.com/watch?v=9aV9w9S5WRA&ab_channel=UlstrupDK,7,Skud ud til alle der cykler op ad Aple deu Randersvej hver morgen,Viktor,x
Justin Bieber - Baby,https://www.youtube.com/watch?v=kffacxfA7G4&ab_channel=JustinBieberVEVO,5,Den sang vi savnede allermest på Smuk,Lasse,x
City bois sig mig,https://www.youtube.com/watch?v=P-GTJUrFUEc,5,"Nogen siger det værste der skete i 2020 var corona, jeg vil sige det var citybois gik i opløsning. Skål!",Viktor,x
"Pool, city bois",https://www.youtube.com/watch?v=rphZREts18o,0,Skud ud til bois! HOLD KÆFT JEG SAVNER JER. KOM NU TILBAAAG!!!,Claes,x
Miley Cyrus - Party in the USA,https://www.youtube.com/watch?v=M11SvDtPBhA&ab_channel=HollywoodRecordsVEVO,5,"Skud ud til Staterne i har vold, våben og store biler",Claes,x
Bedre end Rihanna,https://www.youtube.com/watch?v=n9aao2tE1Tg,2,"Nej, stop! Vi er slet ikke færdig med at høre citybois!!!",Claes,x
Eminem - The Real Slim Shady ,https://www.youtube.com/watch?v=eJO5HU_7_1w&ab_channel=EminemVEVO,0,"Der var engang en mand, han boede i en skål",Viktor,x
Taylor Swift - You Belong With Me,https://www.youtube.com/watch?v=VuNIsY6JdUw&ab_channel=TaylorSwiftVEVO,8,Alle damer tilhører Kusse Claes,Viktor,x
DUO LUPO - Levitating,https://www.youtube.com/watch?v=hldMjKHGpag&ab_channel=RachelGardner,5,Duo Lupo skulle have været med hjemme i mit telt efter Roskilde.,Lasse,x
Britney-gimme more,https://www.youtube.com/watch?v=4eLj0F_rFkk,10,Sidder bare her og drikker klub 100,Lucas,x
Basshunter - Vi sitter i ventrilo och spelar DotA,https://www.youtube.com/watch?v=aTJncWndUB8&ab_channel=ExtensiveMusicUnderground,6,Skud ud til Warcraft 3,Viktor,x
Outkast - Ms Jackson,https://www.youtube.com/watch?v=Qc89T_KPNWc,7,"Jeg drikker klub 100, du skal da i bad for fanden",Lucas,x
Svedbanken - Rollespilsangen,https://www.youtube.com/watch?v=GLik2EOkzU0&ab_channel=FreedomgalSenta,23,Skud ud til Patrick fra Gift ved første blik. Du var bedre end Olivia,Viktor,x
spejlæg sangen,https://www.youtube.com/watch?v=W0UKHMS2mGA&ab_channel=tobypoul,16,Skud ud til den bedste drik(Spejlæg),Roebl,x
I Wanna Dance With Some Shorty,https://soundcloud.com/heyshortymashups/i-wanna-dance-with-some-shorty-2,10,Skud ud til Hey Shorty klub 100 og alle jer der forlod os undervejs,Viktor,x
WAP - Cardi B - best danish translation you can find for free ONLINE!!!,https://soundcloud.com/claesjensen/wap_dansk,0,"Kæft jeg hader tørre kvinder, så skud ud til dem med våd røv fisse!",Claes,x
Centrum Ferrari,https://www.youtube.com/watch?v=LGRDK_efPw0&ab_channel=JonasRisvig,0,"Det er jo ligesom en fiat, men feeed",Lasse,x
Rasmus Seebach - Øde ø,https://www.youtube.com/watch?v=eYg5jxOfPIk&ab_channel=Hallowpop,7,"Du spurgte mig engang:
Hvis du måtte tage tre ting med på en øde ø,
Hvad ville du så vælge? JEG VILL TAGE MIN LEVEL 3 BACKPACK MED!",Claes/Viktor,x
I Just Had Sex,https://www.youtube.com/watch?v=lQlIhraqL7o&ab_channel=thelonelyisland,10,Skud ud til alle der klapper i teltene på Roskilde når man prøver at sove,Vikor,x
ABBA - Gimme! Gimme! Gimme!,https://www.youtube.com/watch?v=XEjLoHdbVeE,18,"Gimme, gimme, gimme, en øl mere, skål!",Claes,x
Marvelous Mosell & DJ Tue Track - Den Bedste Danser (Live P3 Guld 2014),https://www.youtube.com/watch?v=bXhgYdxWIxE&ab_channel=MarvelousMosell,52,Den her sang handler I hvert fald ikke om Kælder Mads,Claes,x
Arabiens drøm,https://www.youtube.com/watch?v=S2O1tscwNlw,27,Skud ud til Anne Gadegård. Du var min våde drøm,,
Du er min store kærlighed,https://www.youtube.com/watch?v=PxJYcqn0u1I,0,Skud ud til Ceres Top,Lasse,x
Tro på os to,https://www.youtube.com/watch?v=X_kIQwWXk84&ab_channel=rockfan52,3,Skud ud til Anni og MGP,Viktor,x
Razz - Kickflipper (Danmark MGP jr 02),https://www.youtube.com/watch?v=VqY5whqbf20&ab_channel=jonw6171,50,Så knapper vi tredje øl op,Becker,x
Thomas Helmig & Medina - 100 Dage (Official Audio),https://www.youtube.com/watch?v=lr0liWw_iHU,15,Elsker Helmig,Lasse,x
"Stupid Man (Remix) - Mike Lowrey. (Ft. Gobs & Thomas Helmig) ""Walk with me, take my hand)",https://www.youtube.com/watch?v=_VlzrkP7F3M,13,MERE HELMIG MERE HELMIG,Alle,x
Han får for lidt,https://www.youtube.com/watch?v=fcXtL8oR4R4&ab_channel=%C3%98stkystHustlers-Topic,147,Nyvang boller ikke. Nyvang boller ikke. Skud ud til Nyvang,Lucas og Mads ordner den,x
Shakira hips dont lie,https://www.youtube.com/watch?v=rONPuz9xMdo,10,Skud ud til hofterne,Becker,x
Michael Jackson bad,https://www.youtube.com/watch?v=dsUXAEzaC3Q&ab_channel=michaeljacksonVEVO,28,Skud ud til børnene.,Lasse,x
Taylor Swift - Love story,https://www.youtube.com/watch?v=8xg3vE8Ie_E&ab_channel=TaylorSwiftVEVO,16,Bare kald mig Romeo,,
