tættere på søen 3.0,,28,fint med 0,
Du skal gå din vej nu (gotta go my own way),,76,,
en futter har sgu følelser,,214,,
daddy cool drikke øl,,16,,
Lær mig at hakke top,,15,,
get on my level jeg hakker ceres,,147,,
Beerceps 2024,https://www.youtube.com/watch?v=XAkcDmlaMUs&feature=youtu.be,66,,
Christian Sommer Vinder Kapsejladsen,https://www.youtube.com/watch?v=xScJ_OaP224&ab_channel=AfrikaSang,8,,
hvilken øl har du i hånden når du hakker bajer,,7,,
Elsker ceres mere (elsker hende mere),,37,,
Foreningstrøje,https://soundcloud.com/bumhug-boyband/foreningstroje,13,,
Pruttemanden,https://soundcloud.com/rune-amstrup/pruttemanden,0,,
Alkymia 2024,https://www.youtube.com/watch?v=sy23SWrSkI0&feature=youtu.be,43,Sune ved hvordan den skal vende,
MEGA TISSEMAND,https://soundcloud.com/claesjensen/mega-tissemand-x-ekstrabladet-dak,124,Efter klub 100 er der autografer. Hilsen megatissemand,
banker på umbis dør,,30, ,
photograph ceres top,,0,,
photograph ceres top,,60,,
jeg hakker tops,,9,,
Melodicus Fredagsband 2022 - Bajerskræk,https://www.youtube.com/watch?v=fvF3ueIapdI&ab_channel=MelodicusFredagsband,0,,
SPINNEPROBLEM,,11,,
Heksedoktor umbi(2024),https://www.youtube.com/watch?v=S7QpIhLsEH8&ab_channel=PartysympaticusProductions,35,,
knejt nejt,,35,,
Umbi Ansøgning,https://soundcloud.com/claesjensen/umbi-ansogning132123,0,Skud ud til Runescape og intet liv,MT
feberdrømmer xx ceres,,6,,
Jus 2024,https://www.youtube.com/watch?v=WeSnii8qNzQ&ab_channel=JuridiskSelskab,53,,Claes
kemisk flad dak,,0,,
kysser ik med piger,,16,,
Rasmus CeresHak - falder,,56,,
WAP - Cardi B - best danish translation you can find for free ONLINE!!!,https://soundcloud.com/claesjensen/wap_dansk,0,"Kæft jeg hader tørre kvinder, så skud ud til dem med våd røv fisse!",
Hav 2024,https://www.youtube.com/watch?v=oduBxqYReHs&feature=youtu.be,43,,
SL 2024,https://www.youtube.com/watch?v=VCQ68dkGbYE&ab_channel=SLFestudvalg,111,,
Beerceps Maximus Fuck SL,https://www.youtube.com/watch?v=WPKcHHrO_00&ab_channel=BeercepsMaximus,10,,
Phams Sang,,0,,
Tennisbolden - Cerestoppen,,15,,
ØF 2024,https://www.youtube.com/watch?v=adPpYYTdXq4&ab_channel=%C3%98konomiskForening,42,Note til shoutout - Vi skal have intro,
Kun øllerne tilbage,,0,,
Kapsejlads (det er spas),https://soundcloud.com/bumhug-boyband/kapsejlads-det-er-spas,14,,
vi er på vej til dig umbibar,,0,,
lootgoblingen og futbrillen,,19,,
drunk in the morning stiv på umbi,,88,,
Hakker Bajser - Miami Vicer Cover,https://soundcloud.com/sarah-thogersen/hakker-bajser-miami-vicer,53,,
KIKS - Men bolle en lærer (forbudt),,14,,
sp eller kapsejlads,,15,,
SIMPFFOS,,35,,
Melodicus Fredagsband 2023 - pagak,https://www.youtube.com/watch?v=bWTSNE6YEuQ&ab_channel=nekxe,94,,
Siffos 2024,https://www.youtube.com/watch?v=dNxNRuJ1Ydw&ab_channel=ForeningenSIFFOS,0,,
Conga men sejt at drik,,60,,
VI SKAL PÅ DRUK (SWEET CAROLINE),,25,,
harboe - nej tak,,18,,
cupid ceres,,0,,
rejsesangen druk edition,,66,,
bag fut briller,,16,,
B for bajer,,0,Den her skal bare starte ved 0,
De skal ha' bagbord nede ved søen,,69,,
Psyk 2024,https://www.youtube.com/watch?app=desktop&v=spuSvBoObLc&t=3s,66,,
HAVnet i lommerne,https://www.youtube.com/watch?v=eUrDE4qZhWQ&ab_channel=AndersLukasVogelius,16,,
skæg med øl,,16,,
Ambrosia 2024,https://soundcloud.com/ambrosia-31391794/ambro-sig-ja,0,,
Karrydak,https://soundcloud.com/cyberniko-niko/wihuew-wihuew-karrydak,85,,
Profus 2024,https://www.youtube.com/watch?v=57uCzACPMaA&ab_channel=ProfusKapsejlads,60,,
svampebob futmand,,0,,
En Øl tilbage,,62,,
APO hey shorty ,https://soundcloud.com/user-627324734-282539957/den-anden-shorty,0,,
Apo 2024,https://www.youtube.com/watch?v=q9EvE9OVgtM&ab_channel=Apollonia-Tandl%C3%A6geskolensfestudvalg,115,,
Tops Nu - Techno Papvin Cover,https://soundcloud.com/sm_records/tops-nu,16,,
outside men din ven har tabt ceres på jorden,,7,,
phineas og fut,,0,,
Valdemar PF 2023 - Nemt / Encore (Valdemar vinder Kapsejladsen 2023),https://www.youtube.com/watch?v=at5OoNOp9FI&ab_channel=bandscientpol,71,,
Sea Shanty 2,https://www.youtube.com/watch?v=bfcZacwnVCk&ab_channel=OSRSBeatz,0,,
ceres og futtemanden,,5,,
feliznavidad henter ceres så siger jeg tak,,12,,
its beginning to look a lot like christmas,,35,,
last christmas men ceres,,17,,
rune sig mig,,29,,
søren snavemus,,9,,
Xxx Ceres - LOC,,15,,
tsunami ceres top,,24,,
FUT 2024,https://www.youtube.com/watch?v=i3OWJG6Ldes&ab_channel=FUTIngeni%C3%B8rernesFestudvalg,130,,
Kapsejlads Igen,https://www.youtube.com/watch?v=sJz4kI8Ag1o&ab_channel=PartysympaticusProductions,15,,
Melodicus Fredagsband 2024,https://www.youtube.com/watch?v=TlrHOQUlVY0&ab_channel=KirstineAndersen,0,,
alle futtere er glade for piger,,15,,
dårlig tur bad day,,27,fint med 0,
den sidste ceres,,87,,
KNALDE DET ER EN SPORT,,14,,
it girl men ceres,,0,,
Statskunskab 2024,https://www.youtube.com/watch?v=CILd-M2664A&ab_channel=PF-PolitologiskForening,65,,
gator mqueeen,,6,,
ik li,,0,,
cereshak.dk,,10,,
Jeg savner rune (im so lonely),,23,,
hakkebajs all night,,75,,
ka jeg ik hak,,25,,
Kan vi bare knep uden at snakke,https://soundcloud.com/layskapace/kan-vi-bar-knep-uden-at-snak,0,,
Lidt til bakken - Møllers palle med øller,https://soundcloud.com/farnzmedz/mollers-palle-med-oller,3,,
fuck hvor jeg dog synes du skal hakke en ceres,,14,,
Humbug 2024,https://www.youtube.com/watch?v=bNZAjKJIBMw&ab_channel=Humbug,130,,
Apo Damen,https://soundcloud.com/isabella-rode/apodamen,0,,
står i hjørnet på apo,,17,,
Det fucking sejt at drikke(Hele sangen),https://soundcloud.com/claesjensen/det-fucking-sejt-at-drikke,0,Hele sangen,
væk mig når søen åbner igen,,0,Hele sangen,
