"Earth, Wind & Shorty - September Hey Shorty MASHUP",https://soundcloud.com/heyshortymashups/earth-wind-shorty-september-hey-shorty-remix,0,Hvad man siger - [General intro] - ,Kommentarer - ,Shoutout?,Vurdering,Gammel lyd
Africa - Shorty,https://soundcloud.com/heyshortymashups/africa-shorty,0,En rigtig klub 100 tager en shorty til,Viktor/Claes,x,,
paul is dead,https://www.youtube.com/watch?v=HFsX0huM8Ig,124,"på tredjesangen, genopstod paul",Benneboe,x,,
Michael Jackson bad,https://www.youtube.com/watch?v=dsUXAEzaC3Q&ab_channel=michaeljacksonVEVO,28,Skud ud til børnene.,Lasse,x,,
artigeardit er her,https://www.youtube.com/watch?v=1VQRxuXqPYk,0,"Artigeardit, du gør mig slem, rawr",Claes,x,,
Chris Brown,https://www.youtube.com/watch?v=3mC2ixOAivA&ab_channel=ChrisBrownVEVO,32,Skud ud til at behandle sin partner ordentligt,Benneboe,x,,
Vanessa Carlton - A Thousand Miles,https://www.youtube.com/watch?v=Cwkej79U3ek&ab_channel=VanessaCarltonVEVO,25,Skud ud til alt der ligger udenfor ringvejen. Det er det man kalder udkantsdanmark.,Claes,x,,
City bois sig mig,https://www.youtube.com/watch?v=_vGl6hcbXgE&ab_channel=Citybois-Topic,5,"Nogen siger det værste der skete i 2020 var corona, jeg vil sige det var citybois gik i opløsning.",Viktor,x,,
"Pool, city bois",https://www.youtube.com/watch?v=_nhpnNomXcs&ab_channel=CityboisVEVO,0,Skud ud til bois! HOLD KÆFT JEG SAVNER JER. KOM NU TILBAAAG!!!,Claes,x,,
Miley Cyrus - Party in the USA,https://www.youtube.com/watch?v=M11SvDtPBhA&ab_channel=HollywoodRecordsVEVO,5,"Skud ud til Staterne i har vold, våben og store biler",Claes,x,,
Bedre end Rihanna,https://www.youtube.com/watch?v=n9aao2tE1Tg,2,"Nej, stop! Vi er slet ikke færdig med at høre citybois!!!",Claes,x,,
det passer johnson,https://www.youtube.com/watch?v=mfM-gg1WqvM,22,der går mange rygter i campen om at mikkel ikke kan bunde en øl,benneboe,x,,
BasedBoys & FisseFred - Giz Præsidenter [Prod. Dj Para],https://www.youtube.com/watch?v=BjkLPlD_1mU&ab_channel=FrederikM%C3%BCnchow,25,Shoutout til præsidenten over alle giz vores alles sverre aka lover boy,Løg,x,,
Taylor Swift - You Belong With Me,https://www.youtube.com/watch?v=VuNIsY6JdUw&ab_channel=TaylorSwiftVEVO,8,Alle damer tilhører Kusse Claes,Viktor,x,,
